Username,Date,Post,Post sentiment,Post subjectivity,Comments,Reactions,Reposts
Scott Arpajian,15-03-2023,"Good read from the NY Times on why voice-activated chat devices (Siri, Alexa, Google Assistant) have failed vs. Chatbots (ChatGPT) despite a 10 year head start and heavy investment.",-0.1027,0.4666666666666667,0,0,0
TorcAI Digital Media Private Limited,15-03-2023,"Recently, voice-enabled technology has gained significant popularity in our daily lives. From smart speakers like#Amazon's#Echoand#GoogleHometo virtual assistants like#Siriand#Alexa, voice-enabled technology is rapidly transforming how we interact with our devices. One area where this technology has enormous potential is in advertising, where voice-enabled ads can offer a unique and engaging user experience.Key points we are going to discuss in this article:I. What is voice-enabled advertising?II. How does voice-enabled advertising work?III. Benefits of voice-enabled advertisingIV. Examples of voice-enabled advertisingV. Challenges and considerations#TorcAI#TheAdTechSpecialist#UnlimitedReach#theadtechspecialists#viads#technology#work#google#apple#advertising#userexperience#virtualassistant",0.9308,0.6709821428571429,0,5,0
SC Mart,15-03-2023,"Wipro Smart Plug - Operate by Alexa, Siri & Wifi.https://lnkd.in/dSDXD-xEElectrical Accessories @ Wholesale Rates Online StoreAll India Free Shipping & Cash On Delivery {COD}Care No.: +91 7096095070",0.7184,0.7214285714285715,0,0,0
Tonnie Taller,15-03-2023,"How Siri, Alexa and Google Assistant Lost the A.I. Race",-0.3182,0.0,0,0,0
Cayetana Esteve de Lozar,15-03-2023,"Hoy he recibido una Newsletter donde una vez más leo que Google (el buscador) se muere 📉. Últimamente apuntan al disparo de Microsoft con la llegada de la IA a Bing, y como hoy es el día de Gpt-4, me parece feo echarle toda la culpa a él 😅. Aquí algunos de los motivos por los que Google Search está en declive:🔍 Los resultados de búsqueda han empeorado por un SEO agresivo que en muchos casos llevan al usuario a resultados poco útiles.📊 Resultados de web de afiliados o publicidad donde la información es escasa y la pantalla está llena de sitios donde clicar.🔮 Resultados personalizados para los usuarios que crean una burbuja donde cada uno recibe la información que refuerza sus opiniones y creencias previas, lo que limita el acceso a la diversidad de información.❓ Google intenta adivinar lo que realmente quiere decir el usuario, en lugar de mostrar resultados para las palabras exactas que el usuario busca.🔄 Los cambios en los algoritmos de búsqueda muchas veces producen que sitios relevantes y con información de calidad desaparezcan de la primera página.🤖 Con el aumento de la desinformación y el contenido generado por IA, cada vez es más difícil para Google distinguir entre contenido auténtico y de calidad y contenido falso o de baja calidad.📱 Muchos usuarios utilizan redes sociales o aplicaciones especializadas para hacer las búsquedas (como Tik Tok o Amazon).🔒 Muchos usuarios preocupados por la privacidad utilizan otros buscadores o ad-blockers y bloqueo de rastreadores.🎤 Cada vez más se utilizan los asistentes de voz para hacer búsquedas (Alexa, Siri...)¿Añadirías algún motivo más? Y más importante, ¿sabiendo todo esto invertirías en Google Ads? (yo sí —si procede—, pero quiero saber tu opinión 😉).#GoogleSearch#EstrategiaDeComunicación#MarketingDigital#PublicidadOnline#InversiónEnAds#Targeting#CampañasDePublicidad#Anuncios#OptimizaciónSEO#RedesSociales#BúsquedaEnInternet#EcosistemaDigital#TendenciasMarketing#ROI#MotoresDeBúsqueda",0.0,0.0,0,2,1 
AmigoAI,15-03-2023,"Hi everyone,As AI technology continues to advance, AI assistants are becoming more prevalent in our daily lives. From voice assistants like Siri and Alexa to chatbots that help us schedule meetings, AI assistants are changing the way we interact with technology.But what does the future hold for AI assistants? Will they become even more integrated into our lives, assisting us with everything from grocery shopping to financial planning? Or will they be limited to specific tasks and functions?I'm curious to hear what you think! Do you see AI assistants playing a larger role in our lives in the future, or do you think their capabilities will remain relatively limited? Share your thoughts in the comments below!#technology#ai#share#like#aiassistant",0.8498,0.3342261904761905,0,0,0
Kathryn Legaspi,15-03-2023,"Sharing this to my network because the world needs Klëm 📱The right investors can definitely help this startup scale effectively.Klëm Digital Wardrobe Technology's mission is to fight fashion waste by putting an AI wardrobe assistant called Klëm in the pockets of busy millennials for the price of a cup of coffee a month. Imagine having a Siri or Alexa that helps you automate your wardrobe decisions and generates a digital inventory of your clothes.I swear by this digital product because the team is a solid 💯, the product development and testing is definitely user-centric 💖, and the genius behind this mission to build a community that will help shape the future of sustainability in fashion is no other thanChristine Noonan. I cannot emphasize how committed and impressive she is as a startup founder. 👸🏻 She's one of my clients who inspired me to do better, and her passion (which is deeply rooted in purpose) is extremely contagious.Want to know more how to support Klëm? Ready for the pitch deck? 💻👋🏼Here's where to drop a line:Christine@klem.app#AI#FashionTech#MachineLearning#ComputerVision#WardrobeAssistant#sustainability#ProductDesign#UXUI#technology#funding",0.9729,0.3908730158730159,0,0,0
Juan Pardo Martinez,15-03-2023,"Artículo interesante (cuyo principio suscribo completamente).""Vivimos en un mundo diseñado para satisfacer a nuestros cerebros de forma instantánea: catálogos infinitos en Netflix, HBO o YouTube, redes sociales deseando darnos en cada momento lo que el algoritmo considera que nos aportará un chute mayor de dopamina, la canción perfecta para cada instante solo esperando a que Alexa o Siri la seleccionen para nosotros con solo susurrarlo. Sin embargo, incluso en 2023 sigue existiendo una gratificación que acompaña a aquello que nos cuesta esfuerzo,..""Aún no leí el libro, pero lo pongo en cola: a veces, incluso en mi situación, no doy abasto.https://lnkd.in/d_HJn3kc",-0.6808,0.0,0,0,0
📈 Maria Gialama 📊,15-03-2023,"In 2023, you would be hard-pressed to find any industry that has not been impacted by, or that does not currently make use of, artificial intelligence or machine learning.#AIis constantly making the lives of human beings easier in both big and small ways.Online#chatbotsthat can answer basic customer support queries and make recommendations based on questions and answers to Alexa or Siri, making calls or starting our playlists.But what do we think will happen with AI in the next few years?#artificialintelligence",0.8225,0.2658333333333333,0,3,0
XR HUB Nürnberg,15-03-2023,"Was ist eigentlich#DeepLearning? 🤔🧠 Deep Learning (DL /#DeepL) ist eine Form des maschinellen Lernens, die auf der Verwendung von künstlichen neuronalen Netzen (#KNNs) basiert. Dabei handelt es sich um ein Modell, das von der Funktionsweise des menschlichen Gehirns inspiriert ist.🧐 Die Technologie von Deep Learning wird häufig eingesetzt, um Muster in großen Datenmengen zu erkennen und vorherzusagen. Es hat Anwendungen in vielen Bereichen wie Bild- und Spracherkennung, Textanalyse, Automatisierung, Prozessoptimierung und sogar in der Medizin.👉🏼 Beispiele für Deep Learning-Anwendungen findet man unter anderem in selbstfahrende Autos, Sprachassistenten wie Siri oder Alexa, Gesichtserkennungssysteme in Smartphones und sogar in der Kunst. So hat ein KI-Algorithmus namens ""The Next Rembrandt"" ein Gemälde im Stil von#Rembrandterstellt, indem er eine große Anzahl von Rembrandt-Gemälden analysiert hat. ⇾https://lnkd.in/dTrSRn2🔎 Um in der Welt des Deep Learning arbeiten zu können, ist es wichtig, ein tiefes Verständnis der zugrunde liegenden Konzepte wie künstliche neuronale Netze, neuronale Architekturen, Optimierungsalgorithmen und Programmierung zu haben. Einige der beliebtesten Deep Learning-Frameworks sind#TensorFlow,#Keras,#PyTorchund#Caffe.ℹ️ Weitere Begriffserklärungen findest Du in unserem#XRWiki⇾https://lnkd.in/e5-QmnHmℹ️ℹ️ Weitere Informationen über XR-Veranstaltungen, -News oder -Fortbildungsmöglichkeiten in der#Metropolregionfindest Du hier ⇾https://www.xrhub-nue.de/#xrhub#xrhubnue#xrhubbavaria#technologie",-0.8316,0.3333333333333333,0,1,0
Anesuishe Nyambauro,15-03-2023,"As an avid admirer of woodworking, I have always longed to create my own masterpiece. However, the demands of full-time study and other obligations left me feeling like it was just a far-fetched dream. But in December of 2022, I decided to take action and live by the mantra ""Why Not?""(Thank You, Russell Westbrook)I had always made small wood products that didn't require much risk but Iused this phrase to break free from the hesitation that had kept me from starting commissioned projects I had been meaning to do for ages. So I decided to create my own woodworking company, NYMBRO, and my first project was a desk for a close friend.It wasn't easy, especially with the high cost of renting workshop space and the challenge of transporting supplies. But I was determined to do the best I could with what I had. In the tiny foyer of my apartment, I spent the next six days building the three-level desk, complete with an integrated neon light controlled by Alexa or Siri and cable management blocks for my friend's cables.This project was a symbol of two things for me: First, taking a step even when the path is unclear is often the best option. Second, it represented the mission of NYMBRO, which is to be the intersection of woodworking and technology, making ideas tangible.Starting NYMBRO was a huge leap of faith, but I knew that it was worth the risk. If you have been holding back on something, I urge you to ask yourself ""Why Not?"" and take the plunge. Whether you succeed or fail, you'll learn something valuable from the experience!#technology#project#woodworking#perseverance#WHYNOT#NYMBRO#entrepreneur",0.9903,0.4326785714285714,0,1,0
Esteban Guasch,15-03-2023,"Esta cámara inteligente es la opción perfecta para no perder de vista tu hogar o negocio, sin incrementar tu consumo energético mensual. Gracias al panel solar, no tendrás que preocuparte por cambiar la batería o tener que enchufar la cámara a la corriente eléctrica. Además, la tecnología de detección de movimiento y las notificaciones en tiempo real te permiten estar al tanto de lo que sucede en todo momento, incluso cuando no estás en casa.No te pierdas ni un momento, incluso en la oscuridad. La cámara está equipada con visión nocturna y grabación de video en la nube (requiere suscripción de pago), para que puedas acceder a las grabaciones desde cualquier lugar con acceso a Internet. Y lo mejor de todo es que no tendrás que preocuparte por la seguridad de tus datos, ya que todas las grabaciones están protegidas con cifrado de extremo a extremo.Puedes controlar la camara exterior con nuestra app muvit iO, no obstante es compatible con la app ""Tuya"". Tambien es compatible con Alexa, Siri Shortcut ya Google Home.Ya disponible enhttps://lnkd.in/dpe-uHmb",-0.8807,0.3,0,0,0
david mcqueen,15-03-2023,"HEALTHY AI SKEPTICISMArtificial Intelligence (AI) has shaped a way many of us navigate technology. From speech recognition to search engines.Beyond the hype of tools like ChatGTP and Dall-E, or software like Alexa and Siri, I have always been intrigued by not just the models and languages used across various forms of AI, but the ethics behind how this intelligence is created, distributed and who has the major ownership on how most of AI is rolled out and to what ends.Tech Won't Save Us has become one of the most intriguing podcasts I listen to regularly, and on the most recent episode, Dan McQuillan,  a Lecturer in Creative and Social Computing at Goldsmiths, University of London and  author of Resisting AI: An Anti-fascist Approach to Artificial Intelligence, breaks down his own skepticism around how we embrace AI.Some good nuggets and questions that we should we be asking before we drink the cool aid of  jumping on another tech bandwagon without thinking it through.",0.9777,0.529582146248813,0,2,0
Tom Rogerson,15-03-2023,"Clunk, click! Scream if you want to go faster1) At what speed are we travelling towards the singularity?2) Where are we on the exponential curve of digital change now?3) How is education going to step up?4) Is the state school or private school industry swift-footed enough to keep up with the daily quantum digital changes?5) Where can Luddites find the looms in 2023?6) How fast can a school pivot?7) Do the nay-sayers have enough of a voice?8) Is it too late to debate the ethics and morals behind AI code?9) Is AI good?10) Can you shut Pandora’s Box?11) Is the only way to avoid the seemingly possible demise of humans at the hands of errant AI code to pull the plug now?12) How fast is too fast?13) Hey Alexa, how much does it cost to live in a cave?14) Hey Siri, how much does it cost to live on Mars?15) Hey Google, what does a ‘digital seatbelt’ look like?#screamifyouwanttogofaster—Chat GPT4 is already out and it can do extraordinary things:• Sam Altman - founder of OpenAI - talks about what’s coming down the line:https://lnkd.in/eNccNGGD• Another piece on Chat GPT4:https://lnkd.in/erJPMWvT- Very quick summary of Chat GPT capabilities:https://lnkd.in/eRUkd5yA—Meanwhile Br-effects-xit, war, cost-of-living crises take centre stage. Can’t we get Chat GPT4 to sort it all out?#ai#digital#singularity#education#school#change#ethicsIrfan H Latif FRSASam Rogerson, MBAWill Orr-EwingJulie RobinsonAndrew NottChristopher KingRobin FletcherAileen KaneCamilla Van PraaghTori CadoganClaudia DudmanAntonia MayHarriet CottrellDavid Wellesley WesleyEve Jardine-Young DLSimon Smith FRSA MCCTSimon SinekElaine C Walker BSc, MScJonnie NoakesSimon NoakesEmma Lee-PotterIrena Barker",-0.8847,0.4606944444444445,10 ,16,1 
Christian Driehaus,15-03-2023,"OpenAI has released the latest version of its neural network, GPT-4, four months after its ChatGPT stunned Silicon Valley.Check out this interesting read byThe New York Times, highlighting the advantages and shortcomings of#gpt-4.👉https://lnkd.in/eSwaWfWEGPT-4 is a neural network, a type of mathematical system that learns skills by analyzing data. It is the same technology that digital assistants like Siri use to recognizes spoken commands and self-driving cars use to identify pedestrians.OpenAI, which has around 375 employees but has been backed with billions of dollars of investment from Microsoft and industry celebrities, said on Tuesday that it had released a technology that it calls GPT-4. It was designed to be the underlying engine that powers chatbots and all sorts of other systems, from search engines to personal online tutors.How will you use this new technology in your business?Achim Rosprich,Adrian Gmelch,Ralph HübnerandFrederik Alexander Buecker?#technology#ai#chatgpt",0.5957,0.3454545454545454,1 ,4,0
Joshua Rao,15-03-2023,"It was a great afternoon spent withthe Field.jobsteam discussing how the#talentcommunitycan breakdown misconceptions, challenge the unconscious bias, and create real, meaningful employment opportunities for people with disability.My biggest take away was that over the last 28 years, there have been many changes enhancing peoples accessibility to employment (to name a few):-the internet-siri and alexa-screen readers-physical accessibility in and around buildings-virtual meeting spaces-greater awareness on the fact that disability can be seen and unseenHowever, the unemployment rate for people with a disability has continued to remain unchanged (for 28 years) 🤯There is a significant talent pool here that is being unnoticed and underutilised. This is time for action! This is wherethe Field.jobscomes in. More details on thefield can be viewed here:https://lnkd.in/gfUVxRrtBen Pettingill/Joel Sardi- I don’t need to tell you how amazing it was to hear from you both! It was incredibly insightful and engaging! Thank you 💚Thank you toREA Groupfor hosting us, as well as our clients and partners in attendance!#disability#ability#thefield#recruitmentSelina PickardCourtney MahonRhea RealoAruzhan ZhangabayevaChristian LaneDavid Parfitt",0.9717,0.5618055555555557,0,12,1 
